Word;lexema;Tristeza;Miedo;Alegria;Ira;Asco
ábaco;;1,2;1,2;1,45;1,29;1
abad;;1,35;1,56;1,71;1,24;2,23
abadesa;;1,64;1,4;1,36;1,69;1,33
alguna		1,2	1,15	1,8	1,25	1,15
alguno		1,25	1,25	1,55	1,3	1,25
alhambra		1,15	1,16	3,65	1,32	1,56
aliado		1,35	1,65	2,55	1,5	1,1
alianza		1,3	2	3,1	1,4	1,23
aliar		1,6	1,85	2,84	1,8	1,2
alicatar		1,15	1,07	1,19	1,15	1,15
alicates		1,17	1,83	1,31	1,45	1,21
aliciente		1,11	1,26	2,35	1,2	1,15
alienación		1,63	1,89	1,55	2,21	1,47
alienígena		1,16	2,2	1,75	1,11	2,5
aliento		1,73	1,8	1,43	1,6	2,5
aligerar		1,05	1,25	2,65	1,3	1,35
alimentación		1,5	1,55	3,4	1,74	1,1
alimentar		1,67	1,43	3,5	1,33	1,37
alimentaria		1,4	1,05	1,85	1,25	1,15
alimenticia		1,15	1,15	2,21	1,3	1,25
alimento		1,35	1,05	3,3	1,1	1,5
alineación		1,5	1,35	1,9	1,4	1,35
alineamiento		1,15	1,5	2,25	1,2	1,5
alinear		1,1	1	2,3	1,2	1,2
alioli		1	1	1,95	1,25	1,85
